Original Words,Spellcheck results,Stem results,Only changes from original
*,e,e,e
send,,send,
corrections,,correct,correct
to,,to,
the,,the,
typist,,typ,typ
i,,i,
got,,got,
bitches,,bitch,bitch
and,,and,
hoes,,hoe,hoe
money,,money,
and,,and,
clothes,,cloth,cloth
i,,i,
had,,had,
it,,it,
before,,bef,bef
but,,but,
i'm,I'm,i'm,
out,,out,
to,,to,
get,,get,
more,,mor,mor
i,,i,
came,,cam,cam
through,,through,
the,,the,
door,,door,
somebody,,somebody,
said,,said,
that,,that,
before,,bef,bef
i,,i,
never,,nev,nev
let,,let,
no,,no,
hoes,,hoe,hoe
magnetize,,magnet,magnet
me,,me,
no,,no,
more,,mor,mor
but,,but,
they,,they,
sweatin,sweating,swe,swe
me,,me,
and,,and,
tellin,telling,tel,tel
me,,me,
and,,and,
beggin,begin,begin,begin
me,,me,
to,,to,
fuck,,fuck,
ha,,ha,
ha,,ha,
yeah,,yeah,
right,,right,
nigga,niggard,niggard,niggard
kev,Kev,kev,
they,,they,
can't,,can't,
get,,get,
enough,,enough,
of,,of,
that,,that,
big,,big,
badass,bad ass,bad ass,bad ass
always,,alway,alway
diggin,digging,dig,dig
down,,down,
tight,,tight,
wit,,wit,
the,,the,
whole,,whol,whol
nine,,nin,nin
nigga,niggard,niggard,niggard
that's,,that's,
why,,why,
you,,you,
can,,can,
best,,best,
bet,,bet,
i,,i,
keep,,keep,
a,,a,
bad,,bad,
bitch,,bitch,
wit,,wit,
me,,me,
at,,at,
all,,al,al
times,,tim,tim
see,,see,
we,,we,
old,,old,
school,,school,
we,,we,
done,,don,don
already,,already,
been,,been,
there,,ther,ther
nigga,niggard,niggard,niggard
done,,don,don
that,,that,
hooked,,hook,hook
up,,up,
wit,,wit,
the,,the,
captain,,captain,
so,,so,
we,,we,
can,,can,
find,,find,
out,,out,
where,,wher,wher
some,,som,som
hoes,,hoe,hoe
at,,at,
well,,wel,wel
i've,I've,i've,
been,,been,
gone,,gon,gon
for,,for,
a,,a,
while,,whil,whil
wit,,wit,
my,,my,
folks,,folk,folk
forty,,forty,
fonzarelli,mozzarella,mozzarell,mozzarell
everybody,,everybody,
talkin,talking,talk,talk
bout,,bout,
you,,you,
been,,been,
eatin,eating,eat,eat
good,,good,
out,,out,
on,,on,
tour,,tour,
cause,,caus,caus
you,,you,
got,,got,
a,,a,
big-ass,bigness,big,big
belly,,bel,bel
it's,,it's,
goin,gin,gin,gin
down,,down,
tonight,,tonight,
even,,ev,ev
celly,cell,cel,cel
cel,el,el,el
could,,could,
see,,see,
i,,i,
hooked,,hook,hook
up,,up,
wit,,wit,
weeples,weepies,weepy,weepy
ant,,ant,
banks,,bank,bank
and,,and,
he's,,he's,
the,,the,
one,,on,on
that,,that,
hooked,,hook,hook
up,,up,
the,,the,
beat,,beat,
i'm,I'm,i'm,
tryin,trying,try,try
to,,to,
get,,get,
you,,you,
in,,in,
the,,the,
mood,,mood,
and,,and,
set,,set,
the,,the,
sex,,sex,
off,,off,
i'll,I'll,i'll,
be,,be,
just,,just,
as,,as,
good,,good,
as,,as,
tiger,,tig,tig
woods,,wood,wood
puttin,putting,put,put
each,,each,
hole,,hol,hol
wit,,wit,
the,,the,
lights,,light,light
off,,off,
say,,say,
it,,it,
isn't,,isn't,
so,,so,
it's,,it's,
ya,,ya,
cousin,,cousin,
captain,,captain,
save,,sav,sav
a,,a,
ho,,ho,
i've,I've,i've,
had,,had,
thousands,,thousand,thousand
before,,bef,bef
but,,but,
now,,now,
i'm,I'm,i'm,
out,,out,
to,,to,
get,,get,
mo,,mo,
ho,,ho,
chorus,,chor,chor
2x,x,x,x
i'm,I'm,i'm,
known,,known,
all,,al,al
around,,around,
the,,the,
world,,world,
as,,as,
ya,,ya,
ghetto,,ghetto,
hero,,hero,
been,,been,
savin,spavin,spavin,spavin
hoes,,hoe,hoe
from,,from,
the,,the,
yay,ya,ya,ya
to,,to,
chicago,Chicago,chicago,
to,,to,
all,,al,al
you,,you,
player,,play,play
haters,,hat,hat
come,,com,com
out,,out,
and,,and,
play,,play,
i'm,I'm,i'm,
fresh,,fresh,
out,,out,
the,,the,
cleaners,,cle,cle
wit,,wit,
my,,my,
versace,Versatec,versatec,versatec
cape,,cap,cap
made,,mad,mad
more,,mor,mor
investments,,invest,invest
than,,than,
versace,Versatec,versatec,versatec
louis,Louis,lou,lou
and,,and,
burke,Burke,burk,burk
and,,and,
even,,ev,ev
guess,,guess,
i'm,I'm,i'm,
that,,that,
chocolate,,chocol,chocol
brother,,broth,broth
wit,,wit,
the,,the,
c,,c,
tattoed,tatted,tat,tat
on,,on,
my,,my,
chest,,chest,
they,,they,
say,,say,
that,,that,
game,,gam,gam
is,,is,
to,,to,
be,,be,
sold,,sold,
and,,and,
not,,not,
told,,told,
made,,mad,mad
a,,a,
call,,cal,cal
to,,to,
my,,my,
nigga,niggard,niggard,niggard
bad,,bad,
azz,razz,razz,razz
got,,got,
a,,a,
loan,,loan,
and,,and,
now,,now,
it's,,it's,
on,,on,
i,,i,
roll,,rol,rol
a,,a,
s-500,ERROR,0,0
plushed-out,plushness,plush,plush
chrome,,chrome,
20's,ERROR,0,0
on,,on,
it,,it,
straight,,straight,
laced,,lac,lac
a,,a,
presidential,,presid,presid
on,,on,
a,,a,
nigga,niggard,niggard,niggard
wrist,,wrist,
wit,,wit,
the,,the,
parvayed,parlayed,parlay,parlay
out,,out,
face,,fac,fac
hoes,,hoe,hoe
always,,alway,alway
keepin,keeping,keep,keep
up,,up,
cause,,caus,caus
i'm,I'm,i'm,
always,,alway,alway
spendin,spending,spend,spend
g's,,g's,
but,,but,
fo-figure,configure,config,config
niggaz,niggard,niggard,niggard
can't,,can't,
though,,though,
cause,,caus,caus
they,,they,
cash,,cash,
flow,,flow,
is,,is,
on,,on,
freeze,,freez,freez
so,,so,
tell,,tel,tel
me,,me,
who,,who,
got,,got,
the,,the,
skrilla,Corilla,corill,corill
who,,who,
got,,got,
the,,the,
cash,,cash,
who,,who,
got,,got,
the,,the,
hoes,,hoe,hoe
nigga,niggard,niggard,niggard
we,,we,
do,,do,
you,,you,
know,,know,
and,,and,
tell,,tel,tel
me,,me,
who,,who,
got,,got,
the,,the,
skrilla,Corilla,corill,corill
who,,who,
got,,got,
the,,the,
cash,,cash,
who,,who,
got,,got,
the,,the,
hoes,,hoe,hoe
nigga,niggard,niggard,niggard
if,,if,
we,,we,
don't,,don't,
i'll,I'll,i'll,
save,,sav,sav
you,,you,
chorus,,chor,chor
2x,x,x,x
repeat,,rep,rep
chorus,,chor,chor
till,,til,til
fade,,fad,fad
